Latitude (decimal degrees):	22.485
Longitude (decimal degrees):	70.061
Elevation (m):	18
Radiation database:	PVGIS-SARAH


Slope: 30 deg. 
Azimuth: -90 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20151231:2348,0.0,0.0,17.63,2.41,0.0
20160101:0048,0.0,0.0,17.13,2.62,0.0
20160101:0148,0.0,0.0,16.76,2.76,0.0
20160101:0248,346.84,9.06,17.64,2.28,0.0
20160101:0348,609.67,20.63,21.03,2.76,0.0
20160101:0448,722.0,30.86,23.87,2.97,0.0
20160101:0548,776.33,38.93,26.52,3.17,0.0
20160101:0648,728.25,43.7,28.93,3.1,0.0
20160101:0748,611.64,44.11,30.45,3.17,0.0
20160101:0848,446.72,40.07,31.21,3.17,0.0
20160101:0948,247.22,32.49,31.4,3.17,0.0
20160101:1048,112.23,22.58,31.05,3.24,0.0
20160101:1148,64.26,11.21,29.71,2.9,0.0
20160101:1248,0.0,0.0,27.41,3.03,0.0
20160101:1348,0.0,0.0,25.73,3.17,0.0
20160101:1448,0.0,0.0,24.49,3.24,0.0
20160101:1548,0.0,0.0,23.41,3.24,0.0
20160101:1648,0.0,0.0,22.41,3.17,0.0
20160101:1748,0.0,0.0,21.46,3.03,0.0
20160101:1848,0.0,0.0,20.76,2.69,0.0
20160101:1948,0.0,0.0,19.94,2.55,0.0
20160101:2048,0.0,0.0,19.15,2.41,0.0
20160101:2148,0.0,0.0,18.33,2.28,0.0
20160101:2248,0.0,0.0,17.51,2.21,0.0
20160101:2348,0.0,0.0,16.8,2.28,0.0
20160102:0048,0.0,0.0,16.17,2.21,0.0
20160102:0148,0.0,0.0,15.62,2.14,0.0
20160102:0248,361.98,9.01,16.5,1.59,0.0
20160102:0348,559.87,20.6,21.59,1.66,0.0
20160102:0448,722.84,30.85,24.84,2.14,0.0
20160102:0548,763.38,38.96,27.35,2.76,0.0
20160102:0648,702.21,43.76,28.94,2.83,0.0
20160102:0748,597.2,44.21,30.14,3.1,0.0
20160102:0848,445.65,40.19,30.71,3.24,0.0
20160102:0948,259.6,32.63,30.79,3.31,0.0
20160102:1048,110.42,22.71,30.42,3.17,0.0
20160102:1148,58.83,11.34,29.25,2.62,0.0
20160102:1248,0.0,0.0,27.21,2.62,0.0
20160102:1348,0.0,0.0,25.6,2.69,0.0
20160102:1448,0.0,0.0,24.33,2.83,0.0
20160102:1548,0.0,0.0,23.2,2.83,0.0
20160102:1648,0.0,0.0,22.2,2.83,0.0
20160102:1748,0.0,0.0,21.33,2.76,0.0
20160102:1848,0.0,0.0,20.47,2.21,0.0
20160102:1948,0.0,0.0,19.34,2.21,0.0
20160102:2048,0.0,0.0,18.48,2.34,0.0
