Latitude (decimal degrees):	22.485
Longitude (decimal degrees):	70.061
Elevation (m):	18
Radiation database:	PVGIS-SARAH


Slope: 30 deg. 
Azimuth: -90 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20151231:2348,0.0,0.0,0.0,0.0,17.63,2.41,0.0
20160101:0048,0.0,0.0,0.0,0.0,17.13,2.62,0.0
20160101:0148,0.0,0.0,0.0,0.0,16.76,2.76,0.0
20160101:0248,251.47,93.73,1.63,9.06,17.64,2.28,0.0
20160101:0348,470.63,134.53,4.51,20.63,21.03,2.76,0.0
20160101:0448,550.1,164.95,6.94,30.86,23.87,2.97,0.0
20160101:0548,615.92,151.49,8.92,38.93,26.52,3.17,0.0
20160101:0648,563.65,154.73,9.87,43.7,28.93,3.1,0.0
20160101:0748,450.05,151.74,9.85,44.11,30.45,3.17,0.0
20160101:0848,308.86,128.88,8.98,40.07,31.21,3.17,0.0
20160101:0948,144.97,94.97,7.27,32.49,31.4,3.17,0.0
20160101:1048,0.0,110.57,1.66,22.58,31.05,3.24,0.0
20160101:1148,0.0,63.31,0.95,11.21,29.71,2.9,0.0
20160101:1248,0.0,0.0,0.0,0.0,27.41,3.03,0.0
20160101:1348,0.0,0.0,0.0,0.0,25.73,3.17,0.0
20160101:1448,0.0,0.0,0.0,0.0,24.49,3.24,0.0
20160101:1548,0.0,0.0,0.0,0.0,23.41,3.24,0.0
20160101:1648,0.0,0.0,0.0,0.0,22.41,3.17,0.0
20160101:1748,0.0,0.0,0.0,0.0,21.46,3.03,0.0
20160101:1848,0.0,0.0,0.0,0.0,20.76,2.69,0.0
20160101:1948,0.0,0.0,0.0,0.0,19.94,2.55,0.0
20160101:2048,0.0,0.0,0.0,0.0,19.15,2.41,0.0
20160101:2148,0.0,0.0,0.0,0.0,18.33,2.28,0.0
20160101:2248,0.0,0.0,0.0,0.0,17.51,2.21,0.0
20160101:2348,0.0,0.0,0.0,0.0,16.8,2.28,0.0
20160102:0048,0.0,0.0,0.0,0.0,16.17,2.21,0.0
20160102:0148,0.0,0.0,0.0,0.0,15.62,2.14,0.0
20160102:0248,267.18,93.13,1.66,9.01,16.5,1.59,0.0
20160102:0348,396.47,159.1,4.3,20.6,21.59,1.66,0.0
20160102:0448,550.81,165.09,6.94,30.85,24.84,2.14,0.0
20160102:0548,584.05,170.54,8.79,38.96,27.35,2.76,0.0
20160102:0648,493.57,199.14,9.5,43.76,28.94,2.83,0.0
20160102:0748,393.47,194.24,9.49,44.21,30.14,3.1,0.0
20160102:0848,281.72,155.18,8.75,40.19,30.71,3.24,0.0
20160102:0948,122.85,129.81,6.94,32.63,30.79,3.31,0.0
20160102:1048,0.0,108.78,1.63,22.71,30.42,3.17,0.0
20160102:1148,0.0,57.96,0.87,11.34,29.25,2.62,0.0
20160102:1248,0.0,0.0,0.0,0.0,27.21,2.62,0.0
20160102:1348,0.0,0.0,0.0,0.0,25.6,2.69,0.0
20160102:1448,0.0,0.0,0.0,0.0,24.33,2.83,0.0
20160102:1548,0.0,0.0,0.0,0.0,23.2,2.83,0.0
20160102:1648,0.0,0.0,0.0,0.0,22.2,2.83,0.0
20160102:1748,0.0,0.0,0.0,0.0,21.33,2.76,0.0
20160102:1848,0.0,0.0,0.0,0.0,20.47,2.21,0.0
20160102:1948,0.0,0.0,0.0,0.0,19.34,2.21,0.0
20160102:2048,0.0,0.0,0.0,0.0,18.48,2.34,0.0
20160102:2148,0.0,0.0,0.0,0.0,17.77,2.34,0.0
20160102:2248,0.0,0.0,0.0,0.0,17.22,2.41,0.0
20160102:2348,0.0,0.0,0.0,0.0,16.7,2.41,0.0
20160103:0048,0.0,0.0,0.0,0.0,16.17,2.28,0.0
20160103:0148,0.0,0.0,0.0,0.0,15.63,2.14,0.0
20160103:0248,246.68,93.46,1.61,8.97,16.47,1.52,0.0
20160103:0348,428.02,149.01,4.38,20.57,21.41,1.45,0.0
20160103:0448,519.96,179.05,6.82,30.85,24.55,1.72,0.0
20160103:0548,584.69,170.64,8.79,38.99,26.98,2.14,0.0
20160103:0648,545.64,168.82,9.79,43.83,28.49,2.28,0.0
20160103:0748,453.18,152.9,9.89,44.32,29.56,2.34,0.0
