Latitude (decimal degrees): 22.485
Longitude (decimal degrees): 70.061
Elevation (m): 18.0
month,year
1,2007
2,2016
3,2006
4,2013
5,2011
6,2012
7,2009
8,2009
9,2008
10,2006
11,2006
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,20.33,68.57,0.0,-0.0,0.0,328.47,2.33,289.0,101433.0
20070101:0100,20.62,70.41,0.0,-0.0,0.0,331.7,2.23,298.0,101433.0
20070101:0200,20.91,72.25,0.0,-0.0,0.0,334.93,2.12,307.0,101543.0
20070101:0300,21.21,74.09,109.0,292.19,63.0,338.15,2.02,319.0,101633.0
20070101:0400,21.5,75.93,308.0,502.47,131.0,341.38,1.92,335.0,101703.0
20070101:0500,21.79,77.77,450.0,456.24,216.0,344.61,1.82,337.0,101743.0
20070101:0600,22.08,79.61,591.0,553.8,243.0,347.84,1.72,341.0,101683.0
20070101:0700,22.37,81.45,726.0,797.55,175.0,351.07,1.62,334.0,101573.0
20070101:0800,26.72,48.6,699.0,680.95,225.0,365.6,2.28,329.0,101453.0
20070101:0900,27.1,46.5,682.0,835.83,144.0,367.2,2.41,320.0,101363.0
20070101:1000,27.1,46.3,549.0,778.09,131.0,372.8,2.62,312.0,101373.0
20070101:1100,26.5,48.9,365.0,669.35,108.0,370.0,2.83,307.0,101353.0
20070101:1200,25.51,54.35,149.0,406.5,70.0,366.0,2.83,300.0,101323.0
20070101:1300,23.76,65.05,0.0,-0.0,0.0,361.2,2.69,290.0,101413.0
20070101:1400,22.46,74.5,0.0,-0.0,0.0,357.4,2.9,285.0,101453.0
20070101:1500,21.48,81.1,0.0,-0.0,0.0,348.2,2.9,285.0,101543.0
20070101:1600,20.77,84.75,0.0,-0.0,0.0,341.2,2.69,286.0,101583.0
20070101:1700,20.24,86.35,0.0,-0.0,0.0,337.8,2.48,287.0,101593.0
20070101:1800,19.77,87.35,0.0,-0.0,0.0,334.6,2.34,288.0,101583.0
20070101:1900,19.48,87.7,0.0,-0.0,0.0,336.0,2.48,299.0,101543.0
20070101:2000,19.09,88.4,0.0,-0.0,0.0,331.6,2.55,302.0,101523.0
20070101:2100,18.72,89.0,0.0,-0.0,0.0,329.6,2.55,306.0,101483.0
20070101:2200,18.4,89.65,0.0,-0.0,0.0,327.4,2.48,310.0,101503.0
20070101:2300,18.1,90.4,0.0,-0.0,0.0,325.8,2.34,314.0,101503.0
20070102:0000,17.69,91.75,0.0,-0.0,0.0,326.0,2.0,318.0,101533.0
20070102:0100,17.07,93.4,0.0,-0.0,0.0,326.85,1.59,325.0,101583.0
20070102:0200,17.67,90.05,0.0,-0.0,0.0,321.4,1.1,336.0,101653.0
20070102:0300,18.76,86.85,113.0,344.82,59.0,318.0,0.62,355.0,101713.0
20070102:0400,20.78,74.55,322.0,591.31,114.0,324.2,0.97,12.0,101802.0
20070102:0500,23.02,58.9,516.0,739.08,137.0,331.8,1.17,20.0,101842.0
20070102:0600,24.88,45.65,665.0,831.83,142.0,340.0,1.24,11.0,101822.0
20070102:0700,25.91,37.55,743.0,860.23,148.0,343.0,1.72,353.0,101713.0
20070102:0800,26.66,34.2,754.0,879.07,141.0,346.0,2.14,331.0,101633.0
20070102:0900,26.92,33.0,684.0,836.82,144.0,346.6,2.48,321.0,101503.0
20070102:1000,26.84,32.9,546.0,749.32,142.0,347.0,2.76,317.0,101483.0
20070102:1100,26.33,33.9,362.0,634.54,117.0,344.4,2.9,317.0,101483.0
20070102:1200,25.34,37.35,152.0,417.09,70.0,340.6,2.69,316.0,101463.0
20070102:1300,23.32,46.85,0.0,-0.0,0.0,335.4,2.41,310.0,101523.0
20070102:1400,21.85,57.05,0.0,-0.0,0.0,329.6,2.48,302.0,101573.0
20070102:1500,20.79,66.0,0.0,-0.0,0.0,325.4,2.62,297.0,101633.0
