,temp-air,ghi,dni,dhi,wind_speed
2021-01-01 00:00:00,20.33,0.0,-0.0,0.0,2.33
2021-01-01 01:00:00,20.62,0.0,-0.0,0.0,2.23
2021-01-01 02:00:00,20.91,0.0,-0.0,0.0,2.12
2021-01-01 03:00:00,21.21,109.0,292.19,63.0,2.02
2021-01-01 04:00:00,21.5,308.0,502.47,131.0,1.92
2021-01-01 05:00:00,21.79,450.0,456.24,216.0,1.82
2021-01-01 06:00:00,22.08,591.0,553.8,243.0,1.72
2021-01-01 07:00:00,22.37,726.0,797.55,175.0,1.62
2021-01-01 08:00:00,26.72,699.0,680.95,225.0,2.28
2021-01-01 09:00:00,27.1,682.0,835.83,144.0,2.41
2021-01-01 10:00:00,27.1,549.0,778.09,131.0,2.62
2021-01-01 11:00:00,26.5,365.0,669.35,108.0,2.83
2021-01-01 12:00:00,25.51,149.0,406.5,70.0,2.83
2021-01-01 13:00:00,23.76,0.0,-0.0,0.0,2.69
2021-01-01 14:00:00,22.46,0.0,-0.0,0.0,2.9
2021-01-01 15:00:00,21.48,0.0,-0.0,0.0,2.9
2021-01-01 16:00:00,20.77,0.0,-0.0,0.0,2.69
2021-01-01 17:00:00,20.24,0.0,-0.0,0.0,2.48
2021-01-01 18:00:00,19.77,0.0,-0.0,0.0,2.34
2021-01-01 19:00:00,19.48,0.0,-0.0,0.0,2.48
2021-01-01 20:00:00,19.09,0.0,-0.0,0.0,2.55
2021-01-01 21:00:00,18.72,0.0,-0.0,0.0,2.55
2021-01-01 22:00:00,18.4,0.0,-0.0,0.0,2.48
2021-01-01 23:00:00,18.1,0.0,-0.0,0.0,2.34
2021-01-02 00:00:00,17.69,0.0,-0.0,0.0,2.0
2021-01-02 01:00:00,17.07,0.0,-0.0,0.0,1.59
2021-01-02 02:00:00,17.67,0.0,-0.0,0.0,1.1
2021-01-02 03:00:00,18.76,113.0,344.82,59.0,0.62
2021-01-02 04:00:00,20.78,322.0,591.31,114.0,0.97
2021-01-02 05:00:00,23.02,516.0,739.08,137.0,1.17
2021-01-02 06:00:00,24.88,665.0,831.83,142.0,1.24
2021-01-02 07:00:00,25.91,743.0,860.23,148.0,1.72
2021-01-02 08:00:00,26.66,754.0,879.07,141.0,2.14
2021-01-02 09:00:00,26.92,684.0,836.82,144.0,2.48
2021-01-02 10:00:00,26.84,546.0,749.32,142.0,2.76
2021-01-02 11:00:00,26.33,362.0,634.54,117.0,2.9
2021-01-02 12:00:00,25.34,152.0,417.09,70.0,2.69
2021-01-02 13:00:00,23.32,0.0,-0.0,0.0,2.41
2021-01-02 14:00:00,21.85,0.0,-0.0,0.0,2.48
2021-01-02 15:00:00,20.79,0.0,-0.0,0.0,2.62
2021-01-02 16:00:00,20.04,0.0,-0.0,0.0,2.62
2021-01-02 17:00:00,19.45,0.0,-0.0,0.0,2.48
2021-01-02 18:00:00,18.95,0.0,-0.0,0.0,2.28
2021-01-02 19:00:00,18.3,0.0,-0.0,0.0,2.41
2021-01-02 20:00:00,17.74,0.0,-0.0,0.0,2.34
2021-01-02 21:00:00,17.22,0.0,-0.0,0.0,2.41
2021-01-02 22:00:00,16.86,0.0,-0.0,0.0,2.69
2021-01-02 23:00:00,16.62,0.0,-0.0,0.0,2.83
2021-01-03 00:00:00,16.35,0.0,-0.0,0.0,2.76
